path,walletCount,churnPercent,changedWallets,staffRateUsdPerHour,ethPriceUsd,l2GasPriceGwei,measuredIssuerGas,measuredUserGas,transactionCount,observedAutomationHoursProxy,staffCostUsd,l1SecurityFeeProxyUsd,issuerPaidUsd,userPaidUsd,totalSystemCostUsd
ilal-v2-zk-policy-grant,100000,10,10000,50,2000,0.1,138493,615200000,10001,0.25,12.5,0,12.5276986,123.04,135.5676986
benchmark-only-onchain-allowlist,100000,10,10000,50,2000,0.1,230540000,0,10000,0.25,12.5,0,58.608000000000004,0,58.608000000000004
ilal-v1-cnf-eas,100000,10,10000,50,2000,1,1181230000,2421010000,20000,0.25,12.5,0,2374.96,4842.02,7216.9800000000005
ilal-v2-zk-policy-grant,100000,10,10000,50,2000,1,138493,615200000,10001,0.25,12.5,0,12.776986,1230.4,1243.1769860000002
benchmark-only-onchain-allowlist,100000,10,10000,50,2000,1,230540000,0,10000,0.25,12.5,0,473.58000000000004,0,473.58000000000004
ilal-v1-cnf-eas,100000,10,10000,50,3000,0.01,1181230000,2421010000,20000,0.25,12.5,0,47.9369,72.6303,120.56720000000001
ilal-v2-zk-policy-grant,100000,10,10000,50,3000,0.01,138493,615200000,10001,0.25,12.5,0,12.50415479,18.456,30.960154789999997
benchmark-only-onchain-allowlist,100000,10,10000,50,3000,0.01,230540000,0,10000,0.25,12.5,0,19.4162,0,19.4162
ilal-v1-cnf-eas,100000,10,10000,50,3000,0.1,1181230000,2421010000,20000,0.25,12.5,0,366.869,726.303,1093.172
ilal-v2-zk-policy-grant,100000,10,10000,50,3000,0.1,138493,615200000,10001,0.25,12.5,0,12.5415479,184.56,197.1015479
benchmark-only-onchain-allowlist,100000,10,10000,50,3000,0.1,230540000,0,10000,0.25,12.5,0,81.662,0,81.662
ilal-v1-cnf-eas,100000,10,10000,50,3000,1,1181230000,2421010000,20000,0.25,12.5,0,3556.19,7263.030000000001,10819.220000000001
ilal-v2-zk-policy-grant,100000,10,10000,50,3000,1,138493,615200000,10001,0.25,12.5,0,12.915479,1845.6000000000001,1858.5154790000001
benchmark-only-onchain-allowlist,100000,10,10000,50,3000,1,230540000,0,10000,0.25,12.5,0,704.1200000000001,0,704.1200000000001
ilal-v1-cnf-eas,100000,10,10000,50,4000,0.01,1181230000,2421010000,20000,0.25,12.5,0,59.7492,96.8404,156.58960000000002
ilal-v2-zk-policy-grant,100000,10,10000,50,4000,0.01,138493,615200000,10001,0.25,12.5,0,12.50553972,24.608,37.11353972
benchmark-only-onchain-allowlist,100000,10,10000,50,4000,0.01,230540000,0,10000,0.25,12.5,0,21.721600000000002,0,21.721600000000002
ilal-v1-cnf-eas,100000,10,10000,50,4000,0.1,1181230000,2421010000,20000,0.25,12.5,0,484.992,968.404,1453.396
ilal-v2-zk-policy-grant,100000,10,10000,50,4000,0.1,138493,615200000,10001,0.25,12.5,0,12.5553972,246.08,258.6353972
benchmark-only-onchain-allowlist,100000,10,10000,50,4000,0.1,230540000,0,10000,0.25,12.5,0,104.71600000000001,0,104.71600000000001
ilal-v1-cnf-eas,100000,10,10000,50,4000,1,1181230000,2421010000,20000,0.25,12.5,0,4737.42,9684.04,14421.460000000001
ilal-v2-zk-policy-grant,100000,10,10000,50,4000,1,138493,615200000,10001,0.25,12.5,0,13.053972,2460.8,2473.8539720000003
benchmark-only-onchain-allowlist,100000,10,10000,50,4000,1,230540000,0,10000,0.25,12.5,0,934.6600000000001,0,934.6600000000001
ilal-v1-cnf-eas,100000,10,10000,100,2000,0.01,1181230000,2421010000,20000,0.25,25,0,48.6246,48.4202,97.04480000000001
ilal-v2-zk-policy-grant,100000,10,10000,100,2000,0.01,138493,615200000,10001,0.25,25,0,25.00276986,12.304,37.30676986
benchmark-only-onchain-allowlist,100000,10,10000,100,2000,0.01,230540000,0,10000,0.25,25,0,29.6108,0,29.6108
ilal-v1-cnf-eas,100000,10,10000,100,2000,0.1,1181230000,2421010000,20000,0.25,25,0,261.246,484.202,745.448
ilal-v2-zk-policy-grant,100000,10,10000,100,2000,0.1,138493,615200000,10001,0.25,25,0,25.0276986,123.04,148.0676986
benchmark-only-onchain-allowlist,100000,10,10000,100,2000,0.1,230540000,0,10000,0.25,25,0,71.108,0,71.108
ilal-v1-cnf-eas,100000,10,10000,100,2000,1,1181230000,2421010000,20000,0.25,25,0,2387.46,4842.02,7229.4800000000005
ilal-v2-zk-policy-grant,100000,10,10000,100,2000,1,138493,615200000,10001,0.25,25,0,25.276986,1230.4,1255.6769860000002
benchmark-only-onchain-allowlist,100000,10,10000,100,2000,1,230540000,0,10000,0.25,25,0,486.08000000000004,0,486.08000000000004
ilal-v1-cnf-eas,100000,10,10000,100,3000,0.01,1181230000,2421010000,20000,0.25,25,0,60.4369,72.6303,133.0672
ilal-v2-zk-policy-grant,100000,10,10000,100,3000,0.01,138493,615200000,10001,0.25,25,0,25.00415479,18.456,43.460154790000004
